0045;testament;FRAD78_Poilus_t-0045_05
0046;testament;FRAD78_Poilus_t-0046_01
0047;testament;FRAD78_Poilus_t-0047_01
0048;enveloppe;FRAD78_Poilus_t-0048_01
0048;enveloppe;FRAD78_Poilus_t-0048_02
0048;testament;FRAD78_Poilus_t-0048_03
0048;testament;FRAD78_Poilus_t-0048_04
0049;testament;FRAD78_Poilus_t-0049_01
0049;testament;FRAD78_Poilus_t-0049_02
0050;testament;FRAD78_Poilus_t-0050_01
0050;testament;FRAD78_Poilus_t-0050_02
0051;testament;FRAD78_Poilus_t-0051_01
0051;testament;FRAD78_Poilus_t-0051_02
0052;testament;FRAD78_Poilus_t-0052_01
0053;testament;FRAD78_Poilus_t-0053_01
0053;testament;FRAD78_Poilus_t-0053_02
0054;testament;FRAD78_Poilus_t-0054_01
0054;testament;FRAD78_Poilus_t-0054_02
0055;testament;FRAD78_Poilus_t-0055_01
0056;testament;FRAD78_Poilus_t-0056_01
0056;testament;FRAD78_Poilus_t-0056_02
0057;testament;FRAD78_Poilus_t-0057_01
0058;testament;FRAD78_Poilus_t-0058_01
0058;testament;FRAD78_Poilus_t-0058_02
0059;testament;FRAD78_Poilus_t-0059_01
0059;testament;FRAD78_Poilus_t-0059_02
0060;testament;FRAD78_Poilus_t-0060_01
0060;testament;FRAD78_Poilus_t-0060_02
0061;enveloppe;FRAD78_Poilus_t-0061_01
0061;enveloppe;FRAD78_Poilus_t-0061_02
0061;testament;FRAD78_Poilus_t-0061_03
0061;testament;FRAD78_Poilus_t-0061_04
0062;enveloppe;FRAD78_Poilus_t-0062_01
0062;enveloppe;FRAD78_Poilus_t-0062_02
0062;testament;FRAD78_Poilus_t-0062_03
0062;testament;FRAD78_Poilus_t-0062_04
0063;testament;FRAD78_Poilus_t-0063_01
0064;enveloppe;FRAD78_Poilus_t-0064_01
0064;enveloppe;FRAD78_Poilus_t-0064_02
0064;testament;FRAD78_Poilus_t-0064_03
0064;testament;FRAD78_Poilus_t-0064_04
0064;testament;FRAD78_Poilus_t-0064_05
0064;testament;FRAD78_Poilus_t-0064_06
0065;enveloppe;FRAD78_Poilus_t-0065_01
0065;testament;FRAD78_Poilus_t-0065_02
0065;testament;FRAD78_Poilus_t-0065_03
0066;testament;FRAD78_Poilus_t-0066_01
0066;testament;FRAD78_Poilus_t-0066_02
0067;testament;FRAD78_Poilus_t-0067_01
0067;testament;FRAD78_Poilus_t-0067_02
0068;testament;FRAD78_Poilus_t-0068_01
0068;enveloppe;FRAD78_Poilus_t-0068_02
0068;enveloppe;FRAD78_Poilus_t-0068_03
